model,mae,r2
mean,0.314695785902,0.0
ridge,0.153339646582,0.748603066019
ridge_red,0.15849197505100002,0.7283885209790001
gtbr,0.153403587314,0.750193291896
gtbr_red,0.160294683016,0.735387765064
svr_rbf,0.147120473603,0.763924343502
svr_poly,0.15107996257200001,0.7531303564949999
svr_red,0.157755367009,0.735738116901
